id,tokens,ner_tags
287,"— J’aimerais beaucoup, <PER> Hummin </PER> , mais le désir d’y
parvenir n’engendre pas automatiquement la capacité de le
faire.","[0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
288,"J’ai dit à <PER> l’Empereur </PER>  que la psychohistoire ne pouvait pas
être transformée en une technique opérationnelle et je suis forcé
de vous répéter la même chose.","[0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
289,"— Et vous n’avez même pas l’intention simplement
d’essayer au moins de trouver cette technique ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
290,"— Non, certainement pas, pas plus que je ne désirerais
amasser une pile de galets de la taille de Trantor, les compter un
par un, puis les ranger par masse décroissante.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
291,"Je saurais que
ce n’est pas réalisable en l’espace d’une vie et ne serais pas idiot
au point de faire semblant d’essayer.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
292,"— Le feriez-vous si vous connaissiez la vérité sur l’état de
l’humanité ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
293,— C’est une question qu’on ne peut pas poser.,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
294,"Qu’est-ce au
juste que la vérité sur l’état de l’humanité ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
295,"Prétendez-vous la
connaître ?","[0, 0, 0, 0, 0, 0, 0, 0]"
296,— Oui.,"[0, 0, 0]"
297,Parfaitement.,"[0, 0, 0]"
298,Et elle tient en trois mots.,"[0, 0, 0, 0, 0, 0, 0]"
299,"»
     <PER> Hummin </PER>  regarda de nouveau devant lui, contemplant
brièvement le vide immuable du tunnel tandis qu’il se ruait sur
leur machine, grandissait pour les engloutir et s’amenuisait en
glissant derrière eux.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
