id,tokens,ner_tags
240,<PER> Seldon </PER>  fut soulagé de ne pas le voir sourire.,"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
241,"Il pouvait
accepter avec philosophie d’être la cible des railleurs mais qu’on
n’espère pas qu’il en tire plaisir.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
242,"<PER> Seldon </PER>  fixa l’homme sans se gêner, car celui-ci semblait
engagé dans quelque débat intérieur.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
243,"Un instant, il donna
l’impression d’être sur le point de parler, puis il parut se raviser,
puis sembla vouloir prendre à nouveau la parole.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
244,"<PER> Seldon </PER>  se
demanda quelle serait sa prochaine réaction.","[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0]"
245,Il étudia l’homme.,"[0, 0, 0, 0, 0, 0, 0, 0]"
246,"Il était grand, les épaule larges, pas de
signe d’embonpoint, cheveux châtains, rasé de près, l’expression
grave, un air de vigueur bien qu’aucun muscle ne saillît, des
traits un rien burinés – agréables mais sans rien de « joli ».","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
247,"Alors que l’homme avait fini par perdre son combat avec
lui-même (ou par le gagner peut-être) et se penchait vers lui,
<PER> Seldon </PER>  avait déjà décidé qu’il lui plaisait.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
248,"L’homme demanda : « Pardonnez-moi, mais étiez-vous au
Congrès décennal ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
249,De mathématiques ?,"[0, 0, 0]"
250,"— Oui, j’y étais, répondit <PER> Seldon </PER> , affable.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]"
251,<PER> Hummin </PER>  acquiesça.,"[2, 2, 2, 0, 0, 0, 0, 0]"
252,"« J’en ai ras le bol de collationner
toutes les sottises émanant de toutes les planètes.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
253,"Je hais cette
spirale descendante.","[0, 0, 0, 0, 0, 0, 0, 0]"
254,"»
      Il jeta sur <PER> Seldon </PER>  un regard spéculatif.","[0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]"
255,"« Parfois, pourtant,
on pêche quelque chose d’intéressant.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
256,"J’ai appris qu’on vous
avait vu en compagnie d’un garde impérial, vous dirigeant vers
la porte du Palais.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
257,"Vous n’auriez pas, par le plus grand des
hasards, été reçu par <PER> l’Empereur </PER> , non ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0]"
258,"»
      Le sourire déserta le visage de <PER> Seldon </PER> .","[0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0]"
259,"C’est avec lenteur
qu’il répondit : « Si tel avait été le cas, ce ne serait certes pas un
sujet que je confierais pour publication.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
260,"— Non, non, pas question de publication.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
261,"Si vous ignorez la
chose, <PER> Seldon </PER> , laissez-moi être le premier à vous l’apprendre : la
règle première du jeu de l’info est qu’on ne dit jamais rien sur
<PER> l’Empereur </PER>  ou son entourage personnel, hormis ce qui émane
des communiqués officiels.","[0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
262,"C’est une erreur, bien sûr, parce que
des bruits courent et qu’ils sont pires que la vérité, mais les
choses sont ainsi.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
263,"— Mais si vous ne pouvez pas en parler, l’ami, pourquoi me
poser la question ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
264,— Simple curiosité personnelle.,"[0, 0, 0, 0, 0]"
265,"Croyez-moi, dans mon
boulot, j’en sais bien plus que n’en diffusent les ondes.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
266,"Laissez-
moi deviner.","[0, 0, 0, 0, 0]"
267,"Je n’ai pas suivi votre communication mais j’ai cru
comprendre que vous parliez de la possibilité de prédire
l’avenir ?","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
268,"»
      <PER> Seldon </PER>  secoua la tête et marmonna : « C’était une erreur.","[0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
269,— Je vous demande pardon ?,"[0, 0, 0, 0, 0, 0]"
270,— Rien.,"[0, 0, 0]"
271,"— Eh bien, la prédiction – une prédiction précise –
 intéresserait <PER> l’Empereur </PER> , ou tout homme au pouvoir ; j’en
déduis donc que <PER> Cléon </PER> , premier du nom, vous a interrogé là-
dessus en vous demandant si vous ne vouliez pas lui offrir
quelques prédictions.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
272,"— Je n’ai pas l’intention de discuter de ça », fit <PER> Seldon </PER> ,
crispé.","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 0, 0, 0, 0, 0]"
273,<PER> Hummin </PER>  esquissa un haussement d’épaules.,"[2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
274,"«  <PER> Eto
Demerzel </PER>  était là, je suppose.","[0, 2, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0]"
275,— Qui ça ?,"[0, 0, 0, 0]"
276,— Vous n’avez jamais entendu parler d’ <PER> Eto Demerzel </PER>  ?,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 2, 0]"
277,— Jamais.,"[0, 0, 0]"
